step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
494,0.02273,0.98077,,,,
495,0.26449,0.91489,,,,
496,0.59083,0.9,,,,
497,0.0,1.0,,,,
498,0.2053,0.9322,,,,
499,0.00788,1.0,,,,
500,0.19217,0.92593,,,,
501,0.00185,1.0,,,,
502,0.02069,1.0,,,,
503,0.51402,0.88636,,,,
504,0.3695,0.9,,,,
505,0.00524,1.0,,,,
506,0.6962,0.96429,,,,
507,0.3965,0.82278,,,,
508,0.23482,0.92105,,,,
509,0.06213,0.96296,,,,
510,0.24009,0.94667,,,,
511,0.68446,0.93333,,,,
512,0.05151,0.97619,,,,
513,0.09588,0.96226,,,,
514,0.26291,0.95238,,,,
515,0.0,1.0,,,,
516,0.16585,0.93333,,,,
517,0.05477,0.99029,,,,
518,0.0,1.0,,,,
519,0.21602,0.92857,,,,
520,1.10233,0.77586,,,,
521,0.37782,0.87603,,,,
522,0.09855,0.93939,,,,
523,0.03541,1.0,,,,
524,0.0,1.0,,,,
525,0.21382,0.91803,,,,
526,0.18756,0.94,,,,
527,0.26311,0.9,,,,
528,0.49532,0.85714,,,,
529,0.19107,0.93103,,,,
530,0.00164,1.0,,,,
531,0.80606,0.86111,,,,
532,0.0,1.0,,,,
533,0.15997,0.9434,,,,
534,0.06049,0.99057,,,,
535,0.14571,0.91489,,,,
536,0.13377,0.95652,,,,
537,0.28926,0.90083,,,,
538,0.0,1.0,,,,
539,0.55008,0.96429,,,,
540,0.00548,1.0,,,,
541,0.0001,1.0,,,,
542,0.00485,1.0,,,,
543,0.0,1.0,,,,
544,0.0,1.0,,,,
545,0.18009,0.93617,,,,
546,0.25879,0.92308,,,,
547,0.1288,0.96429,,,,
548,0.0,1.0,,,,
549,0.16989,0.95333,,,,
550,0.0,1.0,,,,
551,0.24715,0.91837,,,,
552,0.58624,0.82143,,,,
553,0.0,1.0,,,,
554,0.0,1.0,,,,
555,0.0,1.0,,,,
556,0.0976,0.96296,,,,
557,0.10055,0.96667,,,,
558,0.23964,0.92405,,,,
559,0.0,1.0,,,,
560,0.0,1.0,,,,
561,0.28055,0.87356,,,,
562,0.06412,0.97872,,,,
563,0.29938,0.86486,,,,
564,0.0,1.0,,,,
565,1.079,0.85714,,,,
566,0.0,1.0,,,,
567,0.09418,0.98361,,,,
568,0.37527,0.89231,,,,
